name,artist,id,added_at,added_by,length_seconds
It's a Long Way to Tipperary - 1914,John McCormack,70gfB8orjZFNqogQSv4oAE,2019-09-25T18:57:38Z,1214496633,197
Partisan's Song,The Red Army Choir,7MAVEqcqz5nFAQxicDwkSM,2019-09-25T18:57:47Z,1214496633,169
The Last Stand,Sabaton,2LuK1b4aoLoBiZrL0jnfYv,2019-09-25T18:57:55Z,1214496633,238
Panzerkampf,Sabaton,5jJ7sOjvPrFDXOZbeXsVxa,2019-09-25T18:58:15Z,1214496633,315
The Imperial March (Darth Vader's Theme),"John Williams, London Symphony Orchestra",2bw4WgXyXP90hIex7ur58y,2019-09-25T18:59:07Z,1214496633,179
When Johnny Comes Marching Home,38th Army Band,02RV5R3tY0ToCkUGpxkwul,2019-09-25T19:02:22Z,1214496633,139
The British Grenadiers,The Cheshire Regimental Band,5ZaulX0u0YWJKlLm0CGrJO,2019-09-25T19:04:09Z,1214496633,64
Drums And Guns - Johnny I Hardly Knew Ya,Santiano,1SsoLFweJw6qYKcG1wLvox,2019-10-06T23:18:40Z,1214496633,196
