name,artist,id,added_at,added_by,length_seconds
You Make My Dreams Come True,Heaven is Shining,01OJCoQIhg9hibDT4kzmXs,2021-06-03T12:02:12Z,4077db4yencw87jr5ne6q3n9p,177
Bohemian Rhapsody - Remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,2021-06-03T12:04:22Z,4077db4yencw87jr5ne6q3n9p,354
Take A Chance On Me,ABBA,5BckPAYcKEJuYs1eV1BHHe,2021-06-03T12:12:01Z,4077db4yencw87jr5ne6q3n9p,243
Come On Eileen,Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,2021-06-08T09:45:34Z,4077db4yencw87jr5ne6q3n9p,287
Jump (Original Mix),The Pointer Sisters,1kIu9zpYtWjgrLlsactlna,2021-06-08T09:49:57Z,4077db4yencw87jr5ne6q3n9p,262
Dancing In The Street,Martha Reeves & The Vandellas,6rLqjzGV5VMLDWEnuUqi8q,2021-06-08T09:52:02Z,4077db4yencw87jr5ne6q3n9p,165
Centerfold,The J. Geils Band,1ynmMEK1fkyiZ6Z6F3ThEt,2021-06-08T09:56:09Z,4077db4yencw87jr5ne6q3n9p,216
Girls Just Want to Have Fun,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe,2021-06-08T09:56:12Z,4077db4yencw87jr5ne6q3n9p,238
Kiss,Prince,62LJFaYihsdVrrkgUOJC05,2021-06-08T09:56:16Z,4077db4yencw87jr5ne6q3n9p,226
Lollipop,MIKA,2c4YggJQomYXSq4qLXrn4M,2021-06-08T16:04:33Z,4077db4yencw87jr5ne6q3n9p,183
Mamma Mia,ABBA,2TxCwUlqaOH3TIyJqGgR91,2021-06-08T17:03:41Z,4077db4yencw87jr5ne6q3n9p,213
It's Raining Men - Single Version,The Weather Girls,5kErKPSPv8EgdZ04R3el1K,2021-06-08T17:04:01Z,4077db4yencw87jr5ne6q3n9p,212
I'm Coming Out,Diana Ross,0ew27xRdxSexrWbODuLfeE,2021-06-08T17:30:42Z,4077db4yencw87jr5ne6q3n9p,325
