name,artist,id,added_at,added_by,length_seconds
Tiny Planets,Remember Sports,2pryialsLNeawyGOu1Obai,2020-10-12T23:40:56Z,eeb32dju7dk207ozmbvia3nut,117
Mouth Log (Audiotree Live Version),Sidney Gish,0IjM6JgGUQgyFaK3tSC4Ku,2020-10-13T06:12:51Z,eeb32dju7dk207ozmbvia3nut,145
Gimme Brains,Bratmobile,2ICGarWJwQiIGMl07os7sQ,2020-10-13T15:36:47Z,eeb32dju7dk207ozmbvia3nut,136
90210,The Courtneys,14hMPAYT3yRC73RREe88UL,2020-10-13T15:48:07Z,eeb32dju7dk207ozmbvia3nut,238
Silver Velvet,The Courtneys,3Nun99gU0dFjsLP2Y0rSsZ,2020-10-13T16:42:17Z,eeb32dju7dk207ozmbvia3nut,180
Tour,The Courtneys,3WMhC3O1TounlJLilAMVwI,2020-10-13T16:42:17Z,eeb32dju7dk207ozmbvia3nut,233
Lost Boys,The Courtneys,6Ck7eSqoon2ZHIQZuYAlLf,2020-10-13T16:42:17Z,eeb32dju7dk207ozmbvia3nut,410
Minnesota,The Courtneys,391q2BHbd1cwyzUbT3m5fe,2020-10-13T16:42:17Z,eeb32dju7dk207ozmbvia3nut,220
Whirring,The Joy Formidable,2XbqxKjCnE9YWfPRqwgtPq,2020-10-13T21:43:12Z,eeb32dju7dk207ozmbvia3nut,407
bad idea!,girl in red,1M4Ud66z18wuIq3oOxqVHa,2020-10-14T19:57:34Z,eeb32dju7dk207ozmbvia3nut,219
Age of Consent (New Order),Cayetana,0s1AJpOokiTy1UMG4D4iPn,2020-10-15T15:55:03Z,eeb32dju7dk207ozmbvia3nut,226
123,Girlpool,2QrMuaZUACwUpmIzmqRE9l,2020-10-14T14:24:33Z,eeb32dju7dk207ozmbvia3nut,170
Bad Things,Cailin Russo,0FH4vs65tPErwViCdEMG2x,2020-10-15T18:48:07Z,eeb32dju7dk207ozmbvia3nut,216
Elvis is in the Freezer,Ratboys,7bkZib7RjWG1S9HTnOEKWM,2020-10-16T21:41:20Z,eeb32dju7dk207ozmbvia3nut,179
Crimson Wave,Tacocat,1ivnHNdeXgrNcf9Rml0zpG,2020-10-19T17:38:42Z,eeb32dju7dk207ozmbvia3nut,123
Think Of You,Bleached,5W3Auo6qVL6wwbIruLFju7,2020-10-21T21:41:34Z,eeb32dju7dk207ozmbvia3nut,161
Future Me Hates Me,The Beths,0hY72avNehvdV7YVBEH4oo,2020-10-21T22:43:53Z,eeb32dju7dk207ozmbvia3nut,245
Teen Mom,Slutever,51Cg8pI1Uw1mRakcv20Lze,2020-10-21T23:35:07Z,eeb32dju7dk207ozmbvia3nut,134
Deceptacon,Le Tigre,5773KSWFzg9kCc8yazjbSt,2020-10-22T15:03:25Z,eeb32dju7dk207ozmbvia3nut,184
Maggot,Slutever,7ArllcQI3c3ee43yKFSwBs,2020-10-23T20:09:07Z,eeb32dju7dk207ozmbvia3nut,146
Blah Blah Blah,Girlpool,5k2o4h7V50f4K0er7cr84f,2020-10-23T20:09:29Z,eeb32dju7dk207ozmbvia3nut,125
Make It Right,The Coathangers,30lERIpNM6X3G4OrKDToyE,2020-10-24T00:13:04Z,eeb32dju7dk207ozmbvia3nut,181
Please Sir,True Dreams,6V1k1TidCx2eJIvsF055Ws,2020-10-24T01:12:51Z,eeb32dju7dk207ozmbvia3nut,149
Reaching,True Dreams,7fosRGWNwKNwqbgns2LC4I,2020-10-24T01:13:01Z,eeb32dju7dk207ozmbvia3nut,83
The Scum,True Dreams,2p9lI7Cc8KocFA2r4luG6Q,2020-10-24T03:30:57Z,eeb32dju7dk207ozmbvia3nut,127
I Liked You Best,Remember Sports,1jvWNYsXaIcqVzpYquFSpR,2020-10-26T05:26:36Z,eeb32dju7dk207ozmbvia3nut,199
Sports,Beach Bunny,77G0k1La0c5Dw8bAFANcyp,2020-10-27T19:24:54Z,eeb32dju7dk207ozmbvia3nut,164
White Flag,Slutever,3qlmCOHjmpGUISp5nXU9LJ,2020-10-27T19:34:22Z,eeb32dju7dk207ozmbvia3nut,146
Painkiller,Beach Bunny,78j9wYboWAkB0UxVVq0X0H,2020-10-28T23:44:57Z,eeb32dju7dk207ozmbvia3nut,216
Cacti for Clothes,Pageants,68CcjsUbRVus2F1MlcvHTx,2020-12-22T19:47:27Z,eeb32dju7dk207ozmbvia3nut,182
Slug,Snail Mail,6I9degnsVDq2dl7GoiUGhu,2020-12-22T19:47:33Z,eeb32dju7dk207ozmbvia3nut,275
Out Worn,Soccer Mommy,2WYjx3ynbhqjrWcrvyKY8O,2020-12-22T19:47:39Z,eeb32dju7dk207ozmbvia3nut,275
(You're Better) Than Ever,illuminati hotties,09kvp605VBJEeK65QIgnrx,2021-01-02T21:09:18Z,eeb32dju7dk207ozmbvia3nut,141
Full Screen,Adult Mom,0VVsICFJ4BIAJiRpRd3P3M,2021-01-03T22:54:33Z,eeb32dju7dk207ozmbvia3nut,157
Fuck With Your Friends,Lala Lala,1U66RSPSXjqjRjpMqhRPNH,2021-01-13T19:35:28Z,eeb32dju7dk207ozmbvia3nut,143
Destroyer,Lala Lala,3Lllvxi2oA6DIwy2qhPgQx,2021-01-13T19:43:03Z,eeb32dju7dk207ozmbvia3nut,192
Exorcism,Lala Lala,2Lkkewh0Z9CJG49j3jaAgM,2021-01-16T19:07:39Z,eeb32dju7dk207ozmbvia3nut,184
Seventeen,Haley Blais,2CQZalbSGicedttPGtY06n,2021-01-29T04:59:53Z,eeb32dju7dk207ozmbvia3nut,208
Elementary School Dropout,Yucky Duster,623ETF2ZoS4PkECN9p1q0n,2021-01-30T05:24:41Z,eeb32dju7dk207ozmbvia3nut,193
#23,IAN SWEET,2z1wwyLrGkxeHaZdMlTeGn,2021-02-09T18:02:04Z,eeb32dju7dk207ozmbvia3nut,239
Walk in the Woods,Snarls,1qoqz2LrkRl2A24OSdp6wI,2021-04-08T14:56:37Z,eeb32dju7dk207ozmbvia3nut,208
Mother,Tallies,0N2SCvFqAA2NRR12u8PhRK,2021-04-19T15:42:22Z,eeb32dju7dk207ozmbvia3nut,257
Dirtball,Modern Nun,2PUUFzVs8bjNrmoO12lskz,2021-04-20T15:14:10Z,eeb32dju7dk207ozmbvia3nut,163
PINK,Mothers,14qg0bStIzSQVy74nNyuGk,2021-05-04T18:32:44Z,eeb32dju7dk207ozmbvia3nut,410
Stay in the Car,"Bachelor, Jay Som, Palehound",5iLmm1UQmT7wTTCIko3ZRu,2021-05-04T21:16:37Z,eeb32dju7dk207ozmbvia3nut,164
To Fall Is Not to Fail,Dear Nora,5eQxML6gZi4oX3QW0PjYRS,2021-05-04T21:21:54Z,eeb32dju7dk207ozmbvia3nut,170
Multiply,Dora Jar,0snbwXpGlnIFHbUogLZUsP,2021-05-26T16:37:28Z,eeb32dju7dk207ozmbvia3nut,136
Bummer Days,Liza Anne,5XgD3IJKhhChTDtoRzl2V6,2021-09-28T03:58:08Z,eeb32dju7dk207ozmbvia3nut,157
Russian Doll,Jealous of the Birds,581QOI2U9YqzuXW4qpxbG2,2021-11-10T16:29:08Z,eeb32dju7dk207ozmbvia3nut,196
Time's Been Reckless,Marika Hackman,72pWnxFf152HWvGhHvXbPv,2021-12-28T03:40:18Z,eeb32dju7dk207ozmbvia3nut,234
Pretective Boy,Skating Polly,29XFU5WzPnKm066tZn6K0w,2021-12-29T02:00:52Z,eeb32dju7dk207ozmbvia3nut,269
Too Late Now,Wet Leg,6OH7Zxopr4NxIVPfORUEoR,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,209
Oh No,Wet Leg,02LMGGAW6fN40b0oxhXkmP,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,149
Wet Dream,Wet Leg,6pjJUY0O4XgrYFGf9SwD7u,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,140
Chaise Longue,Wet Leg,7iqAuZe5yS0suLQcFfVK39,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,196
High Beam,Sjowgren,4UDBvtxDnUjzVu0HopFsZ8,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,254
Now & Then,Sjowgren,41oqThgUF4yiNz77TazXtl,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,205
Human Condition,Sjowgren,4ulOJhLqbDeBFEbYVX6yjG,2022-01-07T02:11:00Z,eeb32dju7dk207ozmbvia3nut,131
Double Dare,Momma,67AAFaY1z3rTHbDWbcYfyt,2022-01-18T04:41:56Z,eeb32dju7dk207ozmbvia3nut,189
Biohazard,Momma,1Dn8r3rLECHNSGCbajr9HX,2022-01-18T04:48:21Z,eeb32dju7dk207ozmbvia3nut,145
Marbles,Snarls,2guw9QqCoBNGlJTPQBAAHk,2022-01-28T15:31:37Z,eeb32dju7dk207ozmbvia3nut,149
Keep It Together,Pip Blom,60DviYw4Xkmmph4iYqlwAu,2022-01-29T02:12:18Z,eeb32dju7dk207ozmbvia3nut,196
Come Home,Pip Blom,3HIvVrYIRFQmgyWB5JIEpb,2022-01-29T05:09:41Z,eeb32dju7dk207ozmbvia3nut,238
I Know I'm Not Easy To Like,Pip Blom,1VdkQiZBB1FgLTn7cquI9e,2022-02-02T01:42:27Z,eeb32dju7dk207ozmbvia3nut,214
Time to Go Home,Chastity Belt,1xmzwn4AANb8NbfJcKHzSZ,2022-02-03T18:04:39Z,eeb32dju7dk207ozmbvia3nut,230
Stay Away Still,My Idea,6lJKplKGxEo28IitN7Fak0,2022-03-08T04:43:33Z,eeb32dju7dk207ozmbvia3nut,153
Angelica,Wet Leg,4MvwrOOQyjh40KWwmFElmn,2022-03-10T23:31:35Z,eeb32dju7dk207ozmbvia3nut,232
Coming Soon,Annie DiRusso,40TPv4i9TiKD611hmd3qyO,2022-03-10T23:31:46Z,eeb32dju7dk207ozmbvia3nut,195
Out Loud,Remember Sports,6J28WNAtcOASlfRQt4F4F6,2022-03-22T01:24:53Z,eeb32dju7dk207ozmbvia3nut,409
ppl plzr,illuminati hotties,7iylmsXDr2M3CquWBRwdjg,2022-03-29T21:50:29Z,eeb32dju7dk207ozmbvia3nut,162
Ur Mum,Wet Leg,7CLIr0lZ4GWeHTaj9lNkXM,2022-04-06T00:15:45Z,eeb32dju7dk207ozmbvia3nut,201
Candy Apple Red,Annabelle Chairlegs,1d6hbjN5MIr37UCuIFeoMr,2022-05-07T03:20:56Z,eeb32dju7dk207ozmbvia3nut,154
When I'm With You,Best Coast,1ktsFgXrm1w0rhrjrBVCDM,2022-05-16T17:44:04Z,eeb32dju7dk207ozmbvia3nut,178
Supermagical,Wildermiss,5R1onb9wFTipOMUSyo07Ff,2022-06-29T16:46:22Z,eeb32dju7dk207ozmbvia3nut,188
Being In Love,Wet Leg,4VBE0mwU8Nmm8hiqfCe4Ve,2022-07-05T22:40:22Z,eeb32dju7dk207ozmbvia3nut,122
Brain Freeze,Annabelle Chairlegs,7FYSBz7WjwcCmGjI0m1qjY,2022-07-06T21:01:18Z,eeb32dju7dk207ozmbvia3nut,397
Manion,The Courtneys,7vLcDnu9CRQqXUsliD9GFf,2022-07-06T22:11:16Z,eeb32dju7dk207ozmbvia3nut,204
Somebody's Baby,Sidney Gish,1UdgyLAUlbEJb59mgycaTs,2022-07-07T16:21:05Z,eeb32dju7dk207ozmbvia3nut,193
Ghost,Gouge Away,4BxHvb29LvfTzGMmSVB1ou,2022-07-07T18:51:19Z,eeb32dju7dk207ozmbvia3nut,213
Pressure To Party,Julia Jacklin,5Wyy2JHaM8cKEN6YDC6C8O,2022-07-07T19:32:03Z,eeb32dju7dk207ozmbvia3nut,182
I Threw Glass at My Friend's Eyes and Now I'm on Probation,Destroy Boys,2NBxGmbCTLArOiMyWEWsPE,2022-07-07T20:44:53Z,eeb32dju7dk207ozmbvia3nut,157
G.L.O.S.S. (We're from the Future),G.L.O.S.S.,5w8lL6jy9wToBej9Lk9v2f,2022-07-07T21:05:12Z,eeb32dju7dk207ozmbvia3nut,91
Outcast Stomp,G.L.O.S.S.,7x2JpcsehK3idTXuzsimLJ,2022-07-07T21:13:11Z,eeb32dju7dk207ozmbvia3nut,114
Kiss,Mannequin Pussy,0TXWhNi5BwjGyhlrxZKIsW,2022-07-07T21:23:41Z,eeb32dju7dk207ozmbvia3nut,75
Lo peor,Destroy Boys,7CFDbGeL3Ol4N2YoJyNE73,2022-07-12T17:52:08Z,eeb32dju7dk207ozmbvia3nut,98
Walkman,Bad Bad Hats,0Lk2KZTBAP7yEmOEfJEG86,2022-07-23T21:31:34Z,eeb32dju7dk207ozmbvia3nut,177
Medicine,Momma,34tKO5hA7rQTGPCrjGfziu,2022-07-25T14:07:53Z,eeb32dju7dk207ozmbvia3nut,254
Sin Triangle,Sidney Gish,2fDdW9LPYBD5KwYXRYpWce,2022-07-27T06:45:05Z,eeb32dju7dk207ozmbvia3nut,268
Impostor Syndrome,Sidney Gish,3bpGAsjsCIMTz98E7injb2,2022-07-27T06:45:05Z,eeb32dju7dk207ozmbvia3nut,294
"Not but for You, Bunny",Sidney Gish,2J2kGyvyVyOKEJgBCPE1oO,2022-07-27T06:45:05Z,eeb32dju7dk207ozmbvia3nut,242
Persephone,Sidney Gish,5Q03AJdtfazFoenDKCzVlt,2022-07-27T06:45:05Z,eeb32dju7dk207ozmbvia3nut,204
I Eat Salads Now,Sidney Gish,0lwxoD5HvrMldBN5bvAQ45,2022-07-27T06:45:05Z,eeb32dju7dk207ozmbvia3nut,119
Grump,Yucky Duster,3qUadvgwBmgvFqOFWZ0o62,2022-08-12T21:22:44Z,eeb32dju7dk207ozmbvia3nut,150
Cry!,Caroline Rose,7dKfbQC4PhNmgyK2OFwozT,2022-10-22T00:44:37Z,eeb32dju7dk207ozmbvia3nut,223
All My Time Is Wasted,Hannah Jadagu,22nUVnTCm4FlOpVgaTc9sC,2022-10-30T19:59:24Z,eeb32dju7dk207ozmbvia3nut,200
Billie Toppy,Men I Trust,5jyj2XKWILHQxDoz59ddCT,2023-01-03T18:50:09Z,eeb32dju7dk207ozmbvia3nut,195
Only Friend,Gouge Away,06gCuX2qzKfRnfdkuGSEXf,2023-01-04T01:17:15Z,eeb32dju7dk207ozmbvia3nut,108
Consider,Gouge Away,0ON8lHpFBedKf9FFQ1iSh6,2023-01-04T01:23:27Z,eeb32dju7dk207ozmbvia3nut,212
Crane Your Neck - Remastered,Lady Lamb,7FMedJPiag48GjON0tp2PO,2023-01-05T17:15:26Z,eeb32dju7dk207ozmbvia3nut,387
Glory Me,FRANKIIE,196sTDinzKdywRgGRyn0k6,2023-02-08T07:10:20Z,eeb32dju7dk207ozmbvia3nut,230
Good Heart,Indigo De Souza,6fPwWgvq8C0QwfVdxcRBn0,2023-03-08T17:17:36Z,eeb32dju7dk207ozmbvia3nut,160
23,Wallice,3GlGzfwUr7SQPsLC9WsOLJ,2023-04-08T00:34:00Z,eeb32dju7dk207ozmbvia3nut,164
