name,artist,id,added_at,added_by
Existence: Life,"Hafez Nazeri, Shahram Nazeri, Paul Neubauer, Matt Haimovitz, Glen Velez",2e4KeWR0Ym9CTBrSG08FSc,2018-07-17T19:47:52Z,aelladawg
Oh Sweet Nuthin',Hollis Brown,0ADv31kSJhI1VSCQqBbXUU,2018-07-17T23:01:42Z,aelladawg
"Flow, the Moon","Will Samson, Michael Feuerstack",2HWchfr9aUXQHauDQ0OJUc,2018-07-27T16:56:18Z,aelladawg
NN/Peaks,Kangding Ray,7tx8tUuO1ClF72QJg6qBRg,2018-08-07T23:43:07Z,aelladawg
The Alien,"Ben Salisbury, Geoff Barrow",3M0YZKONqBRpxPMDTKA1WP,2018-08-07T23:43:19Z,aelladawg
Bohemia,Audio Dope,6VsCrdZEK2GM3JSSkkRS3C,2018-08-07T23:51:02Z,aelladawg
Oxbow B,Lorn,5Q7adZgptimLsdWof0kW7B,2018-08-10T21:05:13Z,aelladawg
Dark Days,Fat Freddy's Drop,11JLjgIUl0CRrNGJHX8hbU,2018-08-17T19:46:07Z,aelladawg
Grounded,Angus MacRae,4yJQXlyuFyYU7IuVSh7ruM,2018-08-17T20:57:57Z,aelladawg
Mothertongue: I. Archive,"Nico Muhly, Abigail Fischer",3vLHPLzKlF2uoUAB1slify,2018-09-16T23:34:11Z,aelladawg
Smokey Taboo,CocoRosie,1ghYZcTrx98EyHROIsvO5M,2018-09-17T04:05:09Z,aelladawg
The Middle of the World,Nicholas Britell,5pn4wdFwix4qr5SlNyRw7W,2018-09-17T04:41:48Z,aelladawg
Jimmy V,Mary Lattimore,4tm5s2BzVorHwmxTbnhM3i,2018-09-26T17:38:23Z,aelladawg
Ansa ya,"Merrill Garbus, Roomful of Teeth, Brad Wells",2nU1s8EJjQrN56J2PDjCjs,2018-11-03T08:07:15Z,aelladawg
Shadow Journal,"Max Richter, Tilda Swinton, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard, Chris Worsey",4twDZjqA1HNJGH90fN40hA,2018-10-04T20:43:59Z,aelladawg
Va savoir pourquoi,Martin Léon,650QMLdmGGlsOQHjnb3K3M,2018-10-11T15:56:04Z,aelladawg
Dove,Cymande,6yYGrFfc595ggAwsYpH13v,2018-10-31T02:28:46Z,aelladawg
No,"Caleb Burhans, Roomful of Teeth, Brad Wells",6M2dbwwn1zEJhVjSK1cghu,2018-11-03T07:27:54Z,aelladawg
"Partita for 8 Voices: No. 3, Courante","Caroline Shaw, Roomful of Teeth, Brad Wells",2rhEDzb2h1nvbX1AK7QQyj,2018-11-03T07:30:53Z,aelladawg
"Partita for 8 Voices: No. 2, Sarabande","Caroline Shaw, Roomful of Teeth, Brad Wells",1m2zP4pjwBnuYdAw5gWywR,2018-11-03T08:00:14Z,aelladawg
The Hall of Mirrors,Kraftwerk,4sobBksu9LF4D55GiT0G8v,2018-12-04T05:00:28Z,aelladawg
Winter Morning I,"Woodkid, Nils Frahm",7hXAREDWLqX7OVDwEjQMTr,2018-12-04T06:57:49Z,aelladawg
Mandala,Skinshape,6CzeDNEqTiquePMaMUtsH2,2018-12-12T23:40:12Z,aelladawg
