name,artist,id,added_at,added_by,length_seconds
Magnolia Blvd.,Butcher Babies,0kQnQWRn7AblE5SiZ9ygEw,2019-10-06T18:49:40Z,dcgf1cskgtjkfyutncw14t2eu,245
Reckless,Lacuna Coil,7hEk5UTV73GwV9mjw8fBy8,2019-10-07T02:56:47Z,dcgf1cskgtjkfyutncw14t2eu,185
Save Me,Lacuna Coil,02uw1BC34CaOgdnI6hO8Op,2019-10-07T02:56:52Z,dcgf1cskgtjkfyutncw14t2eu,276
Whore,In This Moment,2tAzcTFry1OhmNERFjUR93,2019-10-09T18:29:53Z,dcgf1cskgtjkfyutncw14t2eu,245
Orphan Soul,Infected Rain,17yKsz2dbVEMuIt3M5OcxL,2019-10-11T14:36:05Z,dcgf1cskgtjkfyutncw14t2eu,288
Mold,Infected Rain,1wu3nwuCFmzN5CNHEJa35k,2019-10-11T14:36:09Z,dcgf1cskgtjkfyutncw14t2eu,349
Intoxicating,Infected Rain,0IYLD6Br68FOtVEHT1IvuS,2019-10-11T14:36:28Z,dcgf1cskgtjkfyutncw14t2eu,242
Your Game,One Without,0Ri1z8nyeGhV80ntdF7Ib9,2019-10-12T19:54:10Z,dcgf1cskgtjkfyutncw14t2eu,275
This Is War,One Without,7FBbjDhKFqMjIeU9TdKMau,2019-10-12T19:54:23Z,dcgf1cskgtjkfyutncw14t2eu,280
Zombie,The Cranberries,2IZZqH4K02UIYg5EohpNHF,2019-10-13T20:09:38Z,dcgf1cskgtjkfyutncw14t2eu,306
Veneficium,Lacuna Coil,2SievHiWihoHHBaes2m8Wx,2019-10-13T20:12:10Z,dcgf1cskgtjkfyutncw14t2eu,371
I Miss the Misery,Halestorm,3gmEzilP9BzF45wIMvA16l,2019-10-13T20:12:14Z,dcgf1cskgtjkfyutncw14t2eu,183
Pisces,Jinjer,1XT5VDdxwI2Bx01MxURMcz,2019-10-13T20:12:29Z,dcgf1cskgtjkfyutncw14t2eu,305
Terminal Leeches,Slave to Sirens,23HkWtX2FfV10BWWnY3Wnz,2019-10-13T20:13:37Z,dcgf1cskgtjkfyutncw14t2eu,312
Nemesis,Arch Enemy,27sTzAelgljD6Uxp88BqA3,2019-10-13T20:13:58Z,dcgf1cskgtjkfyutncw14t2eu,252
At The Back Of Beyond,Visions of Atlantis,5hjTwV7hIQVsSZ9BMsVOL8,2019-10-13T20:35:54Z,dcgf1cskgtjkfyutncw14t2eu,208
Human Empire,Kobra And The Lotus,6PKJA5wY3ad8lPTp939ELf,2019-10-13T20:37:48Z,dcgf1cskgtjkfyutncw14t2eu,289
Lure,Infected Rain,1tdGbCRsBr6RQQP903VpQ2,2019-10-13T21:00:15Z,dcgf1cskgtjkfyutncw14t2eu,149
Valentine,Xandria,022m95kcYG2f9t6Thtalh4,2019-10-13T21:00:26Z,dcgf1cskgtjkfyutncw14t2eu,251
Big Bad Wolf,In This Moment,0QB98b4YFxtW4NQ9narHQM,2019-10-13T21:00:43Z,dcgf1cskgtjkfyutncw14t2eu,310
Hangman,Reliqa,1nHMVRFPw2p4Jl9jHqrVMY,2019-10-13T21:01:23Z,dcgf1cskgtjkfyutncw14t2eu,245
Black Dried Up Heart (Bonus track),Lacuna Coil,02ZIWginzSGwpOisp07YHQ,2019-10-13T21:02:12Z,dcgf1cskgtjkfyutncw14t2eu,228
Gun in Your Pocket,Sick Love,1JwEpzpyLorIL7IvRjsL1X,2019-10-13T21:11:02Z,dcgf1cskgtjkfyutncw14t2eu,183
Primrose,Dream State,4YOmGns9ojNuDVV4RfrY3c,2019-10-13T21:11:26Z,dcgf1cskgtjkfyutncw14t2eu,264
Edge of Seventeen,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,2019-10-13T21:33:28Z,dcgf1cskgtjkfyutncw14t2eu,329
I'm So Sick,Flyleaf,3FP8A246XpuafFofRhDlWG,2019-10-13T21:33:37Z,dcgf1cskgtjkfyutncw14t2eu,175
All Around Me,Flyleaf,1zN6ynJG4PdR61YWv4PQ3Y,2019-10-13T21:33:48Z,dcgf1cskgtjkfyutncw14t2eu,198
