name,artist,id,added_at,added_by,length_seconds
Kerfuffle - Original Mix,biskuwi,4Gx9SVjFiuVTdyb62VWFAe,2022-07-21T15:36:58Z,rafaelfernandes03,404
Landmarks,Aural,0p4zxScTH4QBPnDdIeInfB,2021-04-01T11:53:26Z,rafaelfernandes03,306
Griffith,Bob Moses,5WrjsxldW3zDNOhFJi41sp,2022-11-18T13:37:11Z,rafaelfernandes03,372
Metamorphosis,AK,229tiC9qg0HyqXzKKuDxgS,2023-02-02T22:16:17Z,rafaelfernandes03,204
Ronda,Christian Löffler,4WyhOKXtCkNVcgfTBpYaxm,2022-02-17T00:49:36Z,rafaelfernandes03,346
Extraterrestrial Thoughts,"1Planet, Cook & Stans",6NV8btQJtxuC8uxYbVGpgs,2023-01-05T11:33:24Z,rafaelfernandes03,298
Second Sun,"Nils Hoffmann, Ben Böhmer",54adn23Y1VKrsaZi3EJgBk,2022-06-03T13:10:43Z,rafaelfernandes03,224
Luma,MOLØ,53QXZlOK5N4zp96cAvlCzh,2022-08-15T22:26:35Z,rafaelfernandes03,473
Square,Mayro,4UXOEysqTx8KikT4cv9FGY,2022-07-21T16:12:42Z,rafaelfernandes03,444
Horus,EarthLife,4HnCmiIO7k2C5gSiV3wRJY,2022-08-31T15:13:27Z,rafaelfernandes03,585
Polymid,Renga Weh,6Ob7lH8xFS2HYPnkFsdzrl,2022-08-04T13:05:56Z,rafaelfernandes03,431
Prelusion,"Mark Tarmonea, Yannek Maunz",6YJ9z4IInxfJWsjc6ADtV2,2022-07-25T22:57:48Z,rafaelfernandes03,377
Spectrum,Max Cooper,4rw9xbxHWWRuihfAvQG3M2,2023-02-02T15:24:15Z,rafaelfernandes03,285
Spike,Max Cooper,4DxGYJgokpQi2ChUzQEzp6,2022-02-16T22:26:43Z,rafaelfernandes03,456
Heart Mending,Lonov,1VCfBGr1b6Jw4qojj6ka1b,2022-05-27T14:40:21Z,rafaelfernandes03,317
Subtract,A.L.I.S.O.N,3kd10OwEIMhDnuA35lt4Ug,2022-08-31T16:16:29Z,rafaelfernandes03,311
The Ladder,Röyksopp,0mThH0uqT9pmj5cCS7Oeoj,2023-12-01T16:00:43Z,rafaelfernandes03,333
Voyager 22,Kalbaisakhi,2DChgRQfFPgJjRJnTbdAYw,2022-02-01T12:48:20Z,rafaelfernandes03,224
Notte senza fine - Kiasmos Remix,"Tale Of Us, Kiasmos",6HUnAzGo1zYfdX4ZW1yiZh,2023-05-30T18:11:08Z,rafaelfernandes03,388
Pale Skin,Christian Löffler,5nqvTmSm0tQmRndmB4Dn1t,2022-12-04T15:54:00Z,rafaelfernandes03,230
Anything You Synthesize - Ambient,The American Dollar,0OF6WSdeVmYEGBZlxvwvLq,2023-11-21T15:17:35Z,rafaelfernandes03,248
Meertraum,Azaleh,3J2Emoq0BdKHQQZVJdViUY,2022-08-05T21:39:08Z,rafaelfernandes03,394
Once Around,Cubicolor,17C3EXdU2eFGKnesQTkEJr,2022-09-01T13:33:45Z,rafaelfernandes03,222
Float Away,Neskre,2528kl8f8qtVUiHIWzy7Bx,2022-09-01T14:38:20Z,rafaelfernandes03,249
One Too Many,Exist Strategy,3MfbA1oqDBXC2teY5yFqR5,2022-09-04T13:44:45Z,rafaelfernandes03,240
Disclosure,Almost Vanished,6ZFe60md7NyP8pZPHr5qtP,2022-09-26T01:03:43Z,rafaelfernandes03,226
Waves,Progmalite,1nf4JUYWS2UNKy8PTIWa4f,2022-11-12T00:49:04Z,rafaelfernandes03,236
Ecocline Patterns,Monomotion,234uWXXLtojCa6inROrSZi,2023-01-10T11:00:49Z,rafaelfernandes03,213
Reach For The Dead,Boards of Canada,2hgerKBJ7tetp3JfL5OZX9,2022-07-28T18:48:19Z,rafaelfernandes03,287
Vision (Revisited),Carbon Based Lifeforms,1yNJKvM76ohBAQRtGggCkm,2022-07-08T12:30:46Z,rafaelfernandes03,208
Lost In Thought,Jon Hopkins,0BSJ1iQEmGibLCPMHGtdo7,2017-05-19T16:30:22Z,rafaelfernandes03,376
first snow,Antent,7MfK8US1oJ8XTER3jvfoK2,2023-09-07T21:22:40Z,rafaelfernandes03,125
Symmetry Systems (Emerald),36,1vW8krAHupYxF1xRCfQnkD,2023-12-29T20:23:00Z,rafaelfernandes03,202
Origin Myth,Hiatus,1fFylTl5SVntCpGX6LMS9l,2022-10-08T14:09:07Z,rafaelfernandes03,283
Midnight,Alex Lustig,0CN9i89FW9MdXjVSNbbw2z,2023-02-02T22:19:47Z,rafaelfernandes03,169
Finding Atlantis,Cook & Stans,41DRCJywCHC0QyCX71GO9G,2023-02-16T17:50:44Z,rafaelfernandes03,267
Borderline - Remastered,AES DANA,1pM92BjUukLvvQvYFynh6L,2022-09-26T02:30:55Z,rafaelfernandes03,373
Proceed,Corre,7gNYToImB0Q4QLjptXOT5J,2023-02-06T21:54:22Z,rafaelfernandes03,255
Alignments,AES DANA,52WCRCIEUDuq8zBNfBaBxe,2022-07-07T11:37:13Z,rafaelfernandes03,482
Tonight,Manu Zain,2juzU21K9W6pBMwiW9B9UD,2023-02-02T22:27:52Z,rafaelfernandes03,190
District Seven - Broken Mix,Joris Voorn,1LuRbjUYp9uCd3eSlbyzbG,2023-02-16T17:50:59Z,rafaelfernandes03,309
Volca,AKZENTH,28NpDrD2786HAM55WX21ux,2023-03-31T17:57:24Z,rafaelfernandes03,396
interstellar.,"pandora., chillwithme, cødy",4eEfckO9ZJlMntQJFEjxq6,2024-05-11T16:31:25Z,rafaelfernandes03,97
