name,artist,id,added_at,added_by,length_seconds
Paper Time,Sheer Mag,0FahG5rUlmBXr1yZy6onx8,2024-03-05T00:51:37Z,1214496633,169
When You Get Back,Sheer Mag,1lLhmmK9RIKrFzuAtyijDx,2024-03-05T00:51:37Z,1214496633,147
Always / Never,STRFKR,7lImcDZ348OY93pS8OX6Rj,2024-03-05T00:52:07Z,1214496633,221
Holding On,STRFKR,0dlMTThgSAKFVJckS2wVyV,2024-03-05T00:52:07Z,1214496633,191
interspace 2,STRFKR,0wKXNPDw6TNrs6yaPl03J9,2024-03-05T00:52:07Z,1214496633,63
Feelings,STRFKR,1dRWd5Myem8huSj1r3FyOl,2024-03-05T00:52:07Z,1214496633,209
Together Forever,STRFKR,2R7GmNZgUEdZ0jkMbsdgbs,2024-03-05T00:52:07Z,1214496633,277
Under Water / In Air,STRFKR,2BQbQn3MINObNcWGNHqsaB,2024-03-05T00:52:07Z,1214496633,189
Armatron,STRFKR,7GMkZ5wRnOgv1GiCTMHKUT,2024-03-05T00:52:07Z,1214496633,252
interspace 3,STRFKR,4fyfbUknc6k0Z5TkNQ6U1j,2024-03-05T00:52:07Z,1214496633,73
Chizzlers,STRFKR,1iBSb8jT6euwTqyaQtShn3,2024-03-05T00:52:07Z,1214496633,235
interspace 4,STRFKR,6gfnEqrsdXspW0M2egTMOf,2024-03-05T00:52:07Z,1214496633,54
Running Around,STRFKR,6zHghv3g6x2xw4E3aA40OM,2024-03-05T00:52:07Z,1214496633,221
Carnival,STRFKR,1JOGGeF1vuuonAI6k7MEEP,2024-03-05T00:52:07Z,1214496633,238
Lot Of Nice Things,STRFKR,7dtHK3bzQQLbOcTKlQl446,2024-03-05T00:52:07Z,1214496633,266
interspace 5,STRFKR,7JOSAgV9b85LGgokdFdnzq,2024-03-05T00:52:07Z,1214496633,66
Waited For It,STRFKR,6V59UsKHwwEGwOJiBzKCpD,2024-03-05T00:52:07Z,1214496633,147
Something To Prove,STRFKR,45MTEF1bHncdEpoXnlCbDm,2024-03-05T00:52:07Z,1214496633,177
Leaving,STRFKR,5MMFloG0nkyQSl5QjifGul,2024-03-05T00:52:07Z,1214496633,434
Garden Fiya,Magic City Hippies,4M6o7OyR9vFPSNlveCWmAY,2024-03-05T00:52:27Z,1214496633,106
Diamond,Magic City Hippies,2Ghj9ln405TCxVrlEuVnGA,2024-03-05T00:52:27Z,1214496633,228
Queen,Magic City Hippies,7zFXDAZ2V52022GPNYOxyH,2024-03-05T00:52:27Z,1214496633,146
High Beams,"Magic City Hippies, Nafets",28r57p0khZL2C2tpeKENXi,2024-03-05T00:52:27Z,1214496633,210
Champagne On The Rider,Magic City Hippies,4u8traGW2bhMIfE8RibuKr,2024-03-05T00:52:27Z,1214496633,243
Hangunder,Magic City Hippies,2Zi2JS2N0odurGMjdXqg6U,2024-03-05T00:52:27Z,1214496633,107
Ghost On The Mend,Magic City Hippies,32bZRcF2imSuRHdpodPEbQ,2024-03-05T00:52:27Z,1214496633,159
Water Your Garden,"Magic City Hippies, maye",0CVaDx0YP1nMwZd1eg88cX,2024-03-05T00:52:27Z,1214496633,169
Atlantis / DM,Magic City Hippies,3PbZuuBA0ZZAHC9Wz5jfxS,2024-03-05T00:52:27Z,1214496633,270
Therapy,"Magic City Hippies, Tim Atlas",46IKdGs9GbDfbKBhiTwB3i,2024-03-05T00:52:27Z,1214496633,165
High Above The Sun,Magic City Hippies,2XK6b75sWnHyv32YKyQgQt,2024-03-05T00:52:27Z,1214496633,284
Modern Swinger,The Pink Spiders,3YPAAPaxFo8r2ay3cxfqy1,2024-03-05T00:53:04Z,1214496633,193
Gimme Chemicals,The Pink Spiders,7xzaiD4uOJkK9MLGczttTQ,2024-03-05T00:53:10Z,1214496633,207
Gold Confetti,The Pink Spiders,0sapiklqQFuc0feYf5lBGV,2024-03-05T00:53:16Z,1214496633,203
Little Razorblade,The Pink Spiders,1O5eqHOD06tWe26S0CELu0,2024-03-05T00:53:22Z,1214496633,251
Easy Way Out,The Pink Spiders,70AlAZ9trht3qdktuGv0WU,2024-03-05T00:53:27Z,1214496633,155
